name_algo,score
SADiscreteLenglerOnePlusOneExp09,400.34000000000003
SADiscreteOnePlusOneLin100,398.14
SADiscreteOnePlusOneExp099,398.14
SADiscreteOnePlusOneExp09,398.14
DoubleFastGAOptimisticNoisyDiscreteOnePlusOne,394.79999999999995
PortfolioNoisyDiscreteOnePlusOne,365.9000000000001
RecombiningPortfolioOptimisticNoisyDiscreteOnePlusOne,363.17999999999995
OLNDiscreteOnePlusOne,354.9
PortfolioOptimisticNoisyDiscreteOnePlusOne,347.36
OptimisticDiscreteOnePlusOne,339.6
CauchyOnePlusOne,335.1
NLOPT_GN_DIRECT,331.30000000000007
TripleOnePlusOne,325.46
OnePlusOne,321.5
RFMetaModelOnePlusOne,321.5
OnePlusLambda,321.5
MetaModelOnePlusOne,321.5
RecombiningOptimisticNoisyDiscreteOnePlusOne,282.52000000000004
NoisyBandit,273.56
DiscreteLenglerOnePlusOneT,268.08
OptimisticNoisyOnePlusOne,262.32
Noisy13Splits,254.99999999999994
LBFGSB,241.84
RBFGS,241.84
RSQP,241.84
NoisyOnePlusOne,210.16000000000003
BFGS,200.5
LocalBFGS,200.5
MicroSQP,198.29999999999998
SQP,198.29999999999998
TinySQP,198.29999999999998
DiscreteOnePlusOneT,173.68
NoisyDiscreteOnePlusOne,148.4
Zero,2.5
AnisotropicAdaptiveDiscreteOnePlusOne,2.5
