runtime,best_fitness,avg_hamming,avg_kl
2064,-191.59999084472656,32.14999771118164,1.7324986457824707
2080,-191.6599884033203,32.040000915527344,1.7374967336654663
2096,-191.72000122070312,31.849998474121094,1.742888331413269
2112,-191.86000061035156,31.939998626708984,1.748392939567566
2128,-191.9199981689453,31.979999542236328,1.7533258199691772
2144,-191.94000244140625,31.959999084472656,1.7583471536636353
2160,-191.97999572753906,31.729999542236328,1.762446403503418
2176,-192.01998901367188,31.799999237060547,1.7679580450057983
2192,-192.05999755859375,31.799999237060547,1.7728729248046875
2208,-192.1599884033203,32.21999740600586,1.77711820602417
2224,-192.25999450683594,31.670000076293945,1.7817623615264893
2240,-192.4199981689453,31.959999084472656,1.785338282585144
2256,-192.51998901367188,32.07999801635742,1.7908450365066528
2272,-192.8000030517578,31.84000015258789,1.7959764003753662
2288,-192.8199920654297,31.94999885559082,1.8012293577194214
2304,-192.9199981689453,32.11000061035156,1.8062914609909058
2320,-192.95999145507812,32.279998779296875,1.8112165927886963
2336,-192.97999572753906,31.969999313354492,1.815798282623291
2352,-192.97999572753906,32.07999801635742,1.8200372457504272
2368,-193.0399932861328,31.889999389648438,1.824666142463684
2384,-193.1199951171875,31.979999542236328,1.82931649684906
2400,-193.13999938964844,31.829999923706055,1.8341172933578491
2416,-193.1999969482422,32.06999969482422,1.8380635976791382
2432,-193.3000030517578,32.02000045776367,1.8420145511627197
2448,-193.33999633789062,32.25,1.8468215465545654
2464,-193.37998962402344,32.0,1.851171851158142
2480,-193.37998962402344,31.90999984741211,1.8560404777526855
2496,-193.39999389648438,32.13999938964844,1.8610285520553589
2512,-193.47999572753906,32.04999923706055,1.8652822971343994
2528,-193.5399932861328,32.279998779296875,1.8703044652938843
2544,-193.63999938964844,32.06999969482422,1.8746337890625
2560,-193.72000122070312,31.760000228881836,1.8788427114486694
2576,-193.77999877929688,31.989999771118164,1.8829054832458496
2592,-193.8199920654297,31.779998779296875,1.886952519416809
2608,-193.86000061035156,31.90999984741211,1.8911716938018799
2624,-193.87998962402344,32.130001068115234,1.8953288793563843
2640,-193.89999389648438,32.279998779296875,1.899688482284546
2656,-193.94000244140625,31.959999084472656,1.9033244848251343
2672,-193.95999145507812,32.209999084472656,1.9079233407974243
2688,-194.0399932861328,31.959999084472656,1.9123815298080444
2704,-194.05999755859375,32.029998779296875,1.9162664413452148
2720,-194.05999755859375,32.09000015258789,1.920825719833374
2736,-194.13999938964844,32.0099983215332,1.9247225522994995
2752,-194.17999267578125,32.0,1.9283275604248047
2768,-194.1999969482422,32.0099983215332,1.931785225868225
2784,-194.22000122070312,32.15999984741211,1.9357305765151978
2800,-194.239990234375,32.18000030517578,1.9392385482788086
2816,-194.3000030517578,32.09000015258789,1.942566156387329
2832,-194.37998962402344,32.040000915527344,1.946750283241272
2848,-194.44000244140625,32.22999954223633,1.9510383605957031
2864,-194.55999755859375,32.0099983215332,1.954745888710022
2880,-194.63999938964844,32.130001068115234,1.958669662475586
2896,-194.63999938964844,32.0,1.9631437063217163
2912,-194.6999969482422,32.13999938964844,1.9673192501068115
2928,-194.739990234375,32.04999923706055,1.9707878828048706
2944,-194.739990234375,32.06999969482422,1.9741660356521606
2960,-194.89999389648438,32.20000076293945,1.978047251701355
2976,-194.94000244140625,32.20000076293945,1.9818040132522583
2992,-194.95999145507812,31.959999084472656,1.985321044921875
3008,-194.97999572753906,31.8799991607666,1.9888416528701782
3024,-194.97999572753906,32.13999938964844,1.9927024841308594
3040,-194.97999572753906,31.920000076293945,1.9963535070419312
3056,-195.01998901367188,32.279998779296875,1.9997838735580444
3072,-195.09999084472656,32.040000915527344,2.0029492378234863
3088,-195.13999938964844,32.0,2.0063891410827637
3104,-195.17999267578125,31.989999771118164,2.0096757411956787
3120,-195.27999877929688,32.13999938964844,2.013298988342285
3136,-195.27999877929688,32.34000015258789,2.016533374786377
3152,-195.27999877929688,32.05999755859375,2.0201637744903564
3168,-195.3000030517578,32.18000030517578,2.023883819580078
3184,-195.36000061035156,32.099998474121094,2.027494430541992
3200,-195.39999389648438,31.989999771118164,2.0306270122528076
3216,-195.39999389648438,32.25,2.034228801727295
3232,-195.39999389648438,32.189998626708984,2.0373363494873047
3248,-195.47999572753906,31.979999542236328,2.04061222076416
3264,-195.51998901367188,32.09000015258789,2.0437827110290527
3280,-195.59999084472656,32.15999984741211,2.046678304672241
3296,-195.59999084472656,31.92999839782715,2.049457311630249
3312,-195.6599884033203,32.040000915527344,2.0527141094207764
3328,-195.67999267578125,31.979999542236328,2.056009531021118
3344,-195.6999969482422,32.029998779296875,2.059187173843384
