problem,N,K,M,mean,median,q1,q3,p2,p98
NK,64,4,5,0.757061,0.757149,0.748237,0.765131,0.733736,0.783049
NK,64,1,5,0.711789,0.699248,0.684030,0.747418,0.674250,0.761317
NK,256,4,5,0.751840,0.751267,0.745810,0.757824,0.735676,0.770297
NK,64,2,5,0.745161,0.741879,0.722647,0.758811,0.699958,0.811855
NK,64,8,5,0.745004,0.744938,0.736388,0.752190,0.725411,0.770710
NK,256,2,6,0.738275,0.740245,0.733762,0.744572,0.722443,0.750181
NK,128,1,6,0.711506,0.712516,0.709560,0.720555,0.672993,0.734477
NK,256,1,6,0.708703,0.711432,0.697209,0.718935,0.689493,0.725068
NK,256,8,6,0.728933,0.728420,0.725350,0.732978,0.718856,0.737941
NK,128,8,6,0.738535,0.737848,0.733865,0.743606,0.723013,0.753118
NK,128,2,6,0.739595,0.741287,0.735811,0.745066,0.721501,0.753655
NK,128,4,6,0.762382,0.762761,0.752530,0.772271,0.740749,0.784403
NK,64,4,6,0.758970,0.759932,0.752081,0.767100,0.731663,0.783056
NK,64,1,6,0.712109,0.701060,0.684535,0.746889,0.675158,0.761317
NK,256,4,6,0.753847,0.753868,0.749874,0.757674,0.739628,0.771411
NK,64,2,6,0.745803,0.742310,0.722527,0.760134,0.705442,0.804578
NK,64,8,6,0.747949,0.746577,0.740367,0.754160,0.727777,0.773009
NK,256,2,7,0.739285,0.741521,0.735427,0.745995,0.721064,0.750309
NK,128,1,7,0.711488,0.712627,0.708172,0.720493,0.672870,0.734081
NK,256,1,7,0.708906,0.711316,0.697136,0.719128,0.689813,0.725312
NK,256,8,7,0.730105,0.729886,0.726664,0.733304,0.722381,0.738693
NK,128,8,7,0.741205,0.741870,0.736192,0.745912,0.728938,0.755760
NK,128,2,7,0.740221,0.742077,0.736811,0.746388,0.721028,0.753600
NK,128,4,7,0.764909,0.766892,0.756556,0.773088,0.744900,0.783863
NK,64,4,7,0.759091,0.759607,0.749585,0.769234,0.728332,0.783089
NK,64,1,7,0.712257,0.700289,0.684535,0.747418,0.673736,0.761317
NK,256,4,7,0.756237,0.756283,0.751414,0.762687,0.739325,0.773365
NK,64,2,7,0.746998,0.742310,0.725325,0.760134,0.710201,0.808115
NK,64,8,7,0.750829,0.751150,0.742723,0.757541,0.727401,0.775252
NK,256,2,8,0.739820,0.742736,0.735524,0.746160,0.719130,0.749901
NK,128,1,8,0.711653,0.712424,0.709764,0.720493,0.673752,0.734019
NK,256,1,8,0.709128,0.711050,0.697885,0.719187,0.690076,0.725683
NK,256,8,8,0.730177,0.729850,0.726849,0.733465,0.722967,0.739058
NK,128,8,8,0.742483,0.741854,0.736741,0.747131,0.730433,0.757602
NK,128,2,8,0.741025,0.742359,0.737888,0.746388,0.720545,0.755466
NK,128,4,8,0.765124,0.766680,0.756959,0.774105,0.745064,0.782235
NK,64,4,8,0.760368,0.760605,0.752007,0.768749,0.736181,0.779634
NK,64,1,8,0.712259,0.699484,0.684806,0.747418,0.674917,0.761317
NK,256,4,8,0.757489,0.756759,0.751370,0.762591,0.743221,0.775072
NK,64,2,8,0.747522,0.743229,0.726553,0.764275,0.709933,0.811855
NK,64,8,8,0.753442,0.753332,0.744786,0.759767,0.732269,0.776916
NK,256,2,9,0.740152,0.742483,0.735620,0.746237,0.720732,0.750491
NK,128,1,9,0.711814,0.712563,0.710436,0.720493,0.674090,0.734477
NK,256,1,9,0.709244,0.712207,0.697933,0.719338,0.690938,0.725227
NK,256,8,9,0.729677,0.729911,0.727000,0.732516,0.719785,0.739986
NK,128,8,9,0.743341,0.743444,0.739352,0.746983,0.729733,0.757659
NK,128,2,9,0.740961,0.742180,0.736977,0.746525,0.722953,0.755824
NK,128,4,9,0.766572,0.766936,0.757249,0.776985,0.743146,0.786524
NK,64,4,9,0.760756,0.761802,0.754224,0.768910,0.732552,0.779606
NK,64,1,9,0.712289,0.701060,0.685196,0.747418,0.674833,0.761317
NK,256,4,9,0.757819,0.757062,0.752505,0.765420,0.740790,0.773783
NK,64,2,9,0.746967,0.742773,0.727140,0.760137,0.702424,0.811855
NK,64,8,9,0.757005,0.757224,0.750038,0.764260,0.735287,0.778706
NK,256,2,10,0.739985,0.741984,0.735448,0.746239,0.720650,0.750271
NK,128,1,10,0.711973,0.712930,0.710679,0.720493,0.673969,0.734477
NK,256,1,10,0.709232,0.712137,0.697531,0.719349,0.690673,0.725414
NK,256,8,10,0.728716,0.729017,0.725227,0.731657,0.721284,0.738302
NK,128,8,10,0.742915,0.742612,0.737969,0.748008,0.726072,0.757228
NK,128,2,10,0.741848,0.742955,0.739284,0.746631,0.725220,0.755636
NK,128,4,10,0.768322,0.769036,0.760818,0.776544,0.749646,0.786106
NK,64,4,10,0.760883,0.760232,0.754149,0.768369,0.737275,0.780616
NK,64,1,10,0.712248,0.701228,0.684535,0.747418,0.675165,0.761317
NK,256,4,10,0.758540,0.758032,0.752413,0.764771,0.741294,0.773165
NK,64,2,10,0.747095,0.742773,0.726124,0.758019,0.708572,0.811855
NK,64,8,10,0.754636,0.754953,0.747579,0.760917,0.736481,0.775535
NK,256,2,11,0.739921,0.741833,0.737229,0.746245,0.719150,0.750270
NK,128,1,11,0.712054,0.712984,0.710944,0.720493,0.674090,0.734477
NK,256,1,11,0.709323,0.712206,0.698221,0.719323,0.690400,0.725685
NK,256,8,11,0.726300,0.726268,0.722955,0.729617,0.717303,0.734803
NK,128,8,11,0.743164,0.743415,0.738539,0.747275,0.731635,0.755230
NK,128,2,11,0.741185,0.742359,0.738129,0.746631,0.723355,0.755179
NK,128,4,11,0.767392,0.768860,0.758920,0.775689,0.743010,0.786007
NK,64,4,11,0.761193,0.761308,0.755441,0.770619,0.733992,0.777612
NK,64,1,11,0.712370,0.701072,0.684535,0.747418,0.675483,0.761317
NK,256,4,11,0.759277,0.759475,0.752237,0.767024,0.742390,0.774851
NK,64,2,11,0.746310,0.743229,0.723592,0.760134,0.703965,0.811855
NK,64,8,11,0.755904,0.755456,0.749106,0.763458,0.737008,0.777863
NK,256,2,12,0.740335,0.743104,0.736926,0.746835,0.720277,0.750377
NK,128,1,12,0.712051,0.713163,0.711009,0.720493,0.673969,0.734477
NK,256,1,12,0.709309,0.712122,0.697794,0.719389,0.689898,0.725683
NK,256,8,12,0.724813,0.724311,0.720755,0.727574,0.715510,0.738429
NK,128,8,12,0.743795,0.744429,0.738699,0.748337,0.730806,0.757896
NK,128,2,12,0.740046,0.741099,0.737064,0.745488,0.724028,0.756009
NK,128,4,12,0.767363,0.768376,0.760484,0.775827,0.746023,0.783563
NK,64,4,12,0.763111,0.764400,0.758190,0.771951,0.733550,0.783049
NK,64,1,12,0.712360,0.701060,0.684535,0.747418,0.675165,0.761317
NK,256,4,12,0.758205,0.758345,0.752248,0.764181,0.742832,0.774026
NK,64,2,12,0.746787,0.743229,0.723622,0.758333,0.710217,0.807597
NK,64,8,12,0.756687,0.755923,0.749243,0.764849,0.732829,0.782526
NK,256,2,13,0.739972,0.742458,0.736493,0.746669,0.720840,0.750072
NK,128,1,13,0.712131,0.712880,0.710954,0.720509,0.674089,0.734477
NK,256,1,13,0.709446,0.712254,0.697839,0.719659,0.690694,0.725683
NK,256,8,13,0.721306,0.720959,0.717501,0.724160,0.714171,0.733363
NK,128,8,13,0.742954,0.742969,0.738452,0.746563,0.730174,0.755709
NK,128,2,13,0.741534,0.742359,0.738094,0.746631,0.723157,0.755644
NK,128,4,13,0.766846,0.768242,0.759224,0.775901,0.741135,0.784028
NK,64,4,13,0.761425,0.762824,0.756189,0.770645,0.733485,0.778969
NK,64,1,13,0.712425,0.701060,0.684535,0.747418,0.675521,0.761317
NK,256,4,13,0.757418,0.757561,0.753140,0.763137,0.738254,0.772576
NK,64,2,13,0.747399,0.743229,0.726743,0.761190,0.710171,0.811855
NK,64,8,13,0.757746,0.756623,0.750126,0.764293,0.741216,0.780665
NK,256,2,14,0.739844,0.742878,0.736607,0.746912,0.719272,0.750459
NK,128,1,14,0.711991,0.712589,0.710794,0.720636,0.673966,0.734477
NK,256,1,14,0.709381,0.712292,0.698301,0.719425,0.690799,0.725684
NK,256,8,14,0.717708,0.716774,0.713878,0.721027,0.707971,0.732593
NK,128,8,14,0.741675,0.740632,0.737167,0.745999,0.729696,0.757287
NK,128,2,14,0.741304,0.742616,0.737449,0.746421,0.725646,0.754333
NK,128,4,14,0.767928,0.769319,0.759672,0.777838,0.740597,0.786101
NK,64,4,14,0.763376,0.764597,0.759575,0.771709,0.735669,0.783050
NK,64,1,14,0.712426,0.701060,0.684788,0.747418,0.675514,0.761317
NK,256,4,14,0.758301,0.757773,0.750148,0.765301,0.743724,0.775774
NK,64,2,14,0.747125,0.743229,0.727530,0.760134,0.708548,0.806873
NK,64,8,14,0.756545,0.756716,0.750257,0.762445,0.740110,0.772799
NK,256,2,15,0.739993,0.742747,0.736791,0.747116,0.718692,0.750264
NK,128,1,15,0.712067,0.712730,0.710916,0.720758,0.673969,0.734477
NK,256,1,15,0.709337,0.712207,0.697890,0.719395,0.690530,0.725683
NK,256,8,15,0.711949,0.711674,0.708480,0.715639,0.698380,0.722218
NK,128,8,15,0.739899,0.739300,0.735120,0.743406,0.727839,0.758074
NK,128,2,15,0.741374,0.742359,0.738221,0.746173,0.724918,0.755570
NK,128,4,15,0.767921,0.769307,0.758008,0.777696,0.746565,0.785828
NK,64,4,15,0.762480,0.763558,0.757011,0.770625,0.739631,0.777611
NK,64,1,15,0.712512,0.701060,0.685417,0.747418,0.675730,0.761317
NK,256,4,15,0.756591,0.756516,0.750436,0.762863,0.739073,0.771983
NK,64,2,15,0.747071,0.743229,0.725591,0.758019,0.710486,0.811855
NK,64,8,15,0.757350,0.756290,0.750806,0.764609,0.739029,0.776040
NK,256,2,16,0.739703,0.742465,0.736564,0.746391,0.719509,0.749891
NK,128,1,16,0.712079,0.713155,0.711119,0.720493,0.674089,0.734477
NK,256,1,16,0.709365,0.712116,0.697855,0.719564,0.690783,0.725688
NK,256,8,16,0.705268,0.705109,0.700969,0.709436,0.692526,0.720301
NK,128,8,16,0.737980,0.737798,0.733020,0.742929,0.725427,0.752346
NK,128,2,16,0.741031,0.742359,0.737523,0.746581,0.724703,0.754554
NK,128,4,16,0.767571,0.771587,0.758431,0.777249,0.741505,0.784027
NK,64,4,16,0.763145,0.764912,0.757844,0.770672,0.739418,0.779677
NK,64,1,16,0.712490,0.701228,0.685417,0.747418,0.675741,0.761317
NK,256,4,16,0.754585,0.755482,0.748811,0.760383,0.738289,0.767927
NK,64,2,16,0.747226,0.743229,0.726794,0.758019,0.710160,0.811855
NK,64,8,16,0.756281,0.754993,0.749889,0.763300,0.739018,0.776277
NK,256,2,17,0.739550,0.742461,0.737046,0.746013,0.716639,0.750127
NK,128,1,17,0.712160,0.712743,0.711211,0.721367,0.674089,0.734477
NK,256,1,17,0.709269,0.712137,0.697675,0.719479,0.690388,0.725558
NK,256,8,17,0.696661,0.696355,0.691676,0.701909,0.684842,0.708466
NK,128,8,17,0.736222,0.735723,0.731246,0.740631,0.724214,0.751650
NK,128,2,17,0.741837,0.742979,0.737509,0.746631,0.724662,0.758906
NK,128,4,17,0.766360,0.767523,0.758125,0.776771,0.739591,0.783996
NK,64,4,17,0.762379,0.763088,0.756294,0.770652,0.738719,0.777610
NK,64,1,17,0.712373,0.701060,0.684873,0.747418,0.675741,0.761317
NK,256,4,17,0.753699,0.752883,0.747923,0.759974,0.739728,0.772554
NK,64,2,17,0.747618,0.743229,0.728260,0.759365,0.710143,0.811855
NK,64,8,17,0.756368,0.756591,0.749929,0.765232,0.734954,0.779092
NK,256,2,18,0.739110,0.742073,0.737200,0.746269,0.718894,0.749590
NK,128,1,18,0.712247,0.713141,0.710984,0.720493,0.673969,0.734477
NK,256,1,18,0.709243,0.712178,0.697708,0.719492,0.690143,0.725818
NK,256,8,18,0.689157,0.689036,0.683848,0.693447,0.673778,0.708857
NK,128,8,18,0.734009,0.732396,0.730041,0.737703,0.722795,0.749676
NK,128,2,18,0.741068,0.741504,0.737463,0.746203,0.724432,0.757482
NK,128,4,18,0.767131,0.768873,0.757998,0.777086,0.742872,0.783963
NK,64,4,18,0.762909,0.764649,0.757997,0.771398,0.733967,0.779552
NK,64,1,18,0.712278,0.701060,0.684422,0.747418,0.675165,0.761317
NK,256,4,18,0.752161,0.751997,0.745197,0.760748,0.732912,0.767999
NK,64,2,18,0.747147,0.743229,0.726295,0.758019,0.710549,0.808919
NK,64,8,18,0.755162,0.754382,0.749406,0.761716,0.740321,0.776240
NK,256,2,19,0.738564,0.741775,0.735380,0.744893,0.716630,0.748811
NK,128,1,19,0.712171,0.713118,0.711027,0.720555,0.673969,0.734477
NK,256,1,19,0.709054,0.712090,0.697398,0.719543,0.690508,0.725686
NK,256,8,19,0.681394,0.681647,0.677615,0.685563,0.670215,0.690364
NK,128,8,19,0.732301,0.731441,0.727541,0.736426,0.718380,0.746755
NK,128,2,19,0.740845,0.742406,0.737485,0.746631,0.724119,0.753056
NK,128,4,19,0.766571,0.768406,0.757965,0.776317,0.740894,0.783459
NK,64,4,19,0.760715,0.762380,0.753312,0.771203,0.733500,0.778646
NK,64,1,19,0.712483,0.701060,0.685335,0.747418,0.675514,0.761317
NK,256,4,19,0.750432,0.750700,0.742795,0.758205,0.732477,0.766180
NK,64,2,19,0.747438,0.743229,0.725546,0.762585,0.710184,0.811855
NK,64,8,19,0.755044,0.755333,0.749093,0.762355,0.732491,0.772855
NK,256,2,20,0.738291,0.740423,0.735006,0.745588,0.715968,0.748703
NK,128,1,20,0.712162,0.712708,0.711131,0.720493,0.674089,0.734477
NK,256,1,20,0.708896,0.712038,0.697172,0.719267,0.690363,0.725621
NK,256,8,20,0.671488,0.671065,0.664874,0.676495,0.658790,0.688861
NK,128,8,20,0.728035,0.727390,0.722813,0.733025,0.713883,0.743840
NK,128,2,20,0.741084,0.742359,0.737648,0.746631,0.725152,0.753743
NK,128,4,20,0.766314,0.768176,0.758232,0.777688,0.740445,0.782656
NK,64,4,20,0.761963,0.762717,0.757534,0.770869,0.736082,0.777593
NK,64,1,20,0.712322,0.701060,0.684535,0.747418,0.675165,0.761317
NK,256,4,20,0.748822,0.748342,0.742042,0.755944,0.731695,0.765254
NK,64,2,20,0.746899,0.743229,0.726670,0.758019,0.705782,0.810447
NK,64,8,20,0.755576,0.754868,0.749292,0.761967,0.737865,0.776890
