problem,N,K,M,mean,median,q1,q3,p2,p98
NK3,128,2,3,0.802088,0.802634,0.795038,0.809014,0.786659,0.815513
NK3,128,4,3,0.785683,0.785274,0.779993,0.791959,0.767545,0.801076
NK3,128,8,3,0.746251,0.746747,0.740004,0.750892,0.730226,0.767376
NK3,256,1,3,0.782331,0.783622,0.775924,0.791278,0.758213,0.797809
NK3,256,2,3,0.793851,0.793105,0.788166,0.798819,0.776861,0.812921
NK3,256,4,3,0.775780,0.775385,0.772382,0.778808,0.763244,0.790120
NK3,256,8,3,0.735487,0.735088,0.731222,0.739430,0.725279,0.746594
NK3,64,1,3,0.785823,0.781384,0.769351,0.803162,0.757614,0.822628
NK3,64,2,3,0.812572,0.812257,0.805862,0.819739,0.786937,0.835069
NK3,64,4,3,0.789907,0.790503,0.782195,0.798202,0.762282,0.812040
NK3,64,8,3,0.749708,0.748811,0.742506,0.756140,0.731834,0.771157
NK3,128,1,4,0.794914,0.792129,0.786306,0.804209,0.778276,0.820258
NK3,128,2,4,0.808285,0.807333,0.802794,0.813937,0.790240,0.826400
NK3,128,4,4,0.791587,0.789908,0.784992,0.798642,0.772839,0.808741
NK3,128,8,4,0.749665,0.749679,0.744975,0.754596,0.730711,0.763835
NK3,256,1,4,0.785542,0.787266,0.778203,0.794121,0.764314,0.802159
NK3,256,2,4,0.798988,0.798059,0.793148,0.803337,0.786926,0.817847
NK3,256,4,4,0.781029,0.780613,0.776396,0.784870,0.771316,0.793724
NK3,256,8,4,0.738648,0.739138,0.733701,0.742568,0.727635,0.750217
NK3,64,1,4,0.786363,0.783431,0.768548,0.806601,0.760361,0.822034
NK3,64,2,4,0.814738,0.815249,0.806865,0.822540,0.792223,0.839743
NK3,64,4,4,0.798940,0.796487,0.791434,0.807469,0.774596,0.823507
NK3,64,8,4,0.757245,0.756949,0.748893,0.765985,0.735993,0.777006
NK3,128,1,5,0.796086,0.794130,0.787441,0.804306,0.778555,0.821362
NK3,128,2,5,0.809756,0.810949,0.805541,0.817319,0.786568,0.824034
NK3,128,4,5,0.794759,0.794862,0.789916,0.799349,0.781489,0.808922
NK3,128,8,5,0.749439,0.748710,0.744628,0.754332,0.735996,0.764143
NK3,256,1,5,0.787202,0.786721,0.782282,0.795630,0.765735,0.802553
NK3,256,2,5,0.800749,0.800292,0.794160,0.805020,0.785554,0.826662
NK3,256,4,5,0.781712,0.781917,0.777931,0.785404,0.770956,0.792611
NK3,256,8,5,0.737463,0.737566,0.734484,0.740332,0.727413,0.747403
NK3,64,1,5,0.788507,0.783687,0.771364,0.807521,0.762143,0.832930
NK3,64,2,5,0.817502,0.818446,0.809351,0.825620,0.797214,0.837088
NK3,64,4,5,0.801552,0.801471,0.793507,0.808534,0.778399,0.829257
NK3,64,8,5,0.760970,0.762323,0.752263,0.768751,0.737930,0.778503
NK3,128,1,6,0.797060,0.794707,0.788514,0.806484,0.780868,0.820872
NK3,128,2,6,0.813032,0.813494,0.807687,0.818176,0.796646,0.829391
NK3,128,4,6,0.797451,0.796641,0.790642,0.802738,0.785357,0.813268
NK3,128,8,6,0.748832,0.747632,0.744732,0.752824,0.735758,0.764588
NK3,256,1,6,0.788011,0.789971,0.783239,0.796188,0.764144,0.804489
NK3,256,2,6,0.802583,0.801959,0.796996,0.806575,0.788812,0.821086
NK3,256,4,6,0.783898,0.782906,0.779820,0.787311,0.773694,0.798785
NK3,256,8,6,0.734424,0.734811,0.731110,0.738021,0.724811,0.744464
NK3,64,1,6,0.788083,0.784413,0.770569,0.808602,0.763346,0.832180
NK3,64,2,6,0.819448,0.819049,0.810009,0.827001,0.797261,0.839903
NK3,64,4,6,0.803068,0.802086,0.795401,0.809876,0.778192,0.827896
NK3,64,8,6,0.763966,0.764181,0.756498,0.769989,0.743468,0.788140
NK3,128,1,7,0.797501,0.795335,0.789004,0.807987,0.781169,0.820949
NK3,64,8,7,0.762672,0.761686,0.755952,0.768061,0.745869,0.785789
NK3,256,1,7,0.788915,0.791214,0.783782,0.796912,0.768662,0.804273
NK3,256,8,7,0.728531,0.728174,0.724087,0.732404,0.720435,0.739580
NK3,64,4,7,0.806579,0.806444,0.799256,0.812024,0.786320,0.828235
NK3,64,1,7,0.789433,0.784570,0.770986,0.808342,0.765576,0.823627
NK3,128,2,7,0.812338,0.813421,0.807373,0.818267,0.794705,0.827662
NK3,64,2,7,0.820363,0.820684,0.811308,0.828244,0.803961,0.838557
NK3,256,4,7,0.782273,0.781977,0.777952,0.785108,0.773071,0.796461
NK3,128,8,7,0.749072,0.749568,0.744409,0.753235,0.736496,0.763069
NK3,128,4,7,0.798861,0.798626,0.792444,0.805107,0.783077,0.817250
NK3,256,2,7,0.803453,0.803462,0.796663,0.808432,0.788951,0.821100
NK3,128,1,8,0.797765,0.795566,0.790495,0.806769,0.780382,0.821257
NK3,128,2,8,0.812253,0.814425,0.806534,0.818368,0.792295,0.827250
NK3,128,4,8,0.798392,0.798661,0.792588,0.804627,0.784220,0.814086
NK3,128,8,8,0.746139,0.745609,0.741584,0.750442,0.732038,0.762609
NK3,256,1,8,0.788991,0.790509,0.784307,0.796959,0.766639,0.803736
NK3,256,2,8,0.802743,0.802640,0.795626,0.807335,0.787098,0.823002
NK3,256,4,8,0.780987,0.780755,0.776381,0.784712,0.770007,0.793603
NK3,256,8,8,0.721576,0.721116,0.717965,0.724661,0.711573,0.735787
NK3,64,1,8,0.789588,0.786417,0.772272,0.808222,0.764434,0.823187
NK3,64,2,8,0.820758,0.820398,0.812891,0.827694,0.801993,0.838721
NK3,64,4,8,0.808570,0.808164,0.801018,0.816472,0.786025,0.827486
NK3,64,8,8,0.760179,0.759697,0.753786,0.768000,0.743198,0.776473
NK3,128,1,9,0.798145,0.796600,0.790226,0.808793,0.779992,0.821127
NK3,128,2,9,0.813740,0.816226,0.808478,0.819982,0.790755,0.828088
NK3,128,4,9,0.799138,0.797957,0.793422,0.804032,0.785049,0.816600
NK3,128,8,9,0.740651,0.740944,0.735498,0.745480,0.727180,0.756052
NK3,256,1,9,0.788895,0.790612,0.783491,0.797300,0.767213,0.804852
NK3,256,2,9,0.802899,0.801883,0.797083,0.807598,0.787761,0.830917
NK3,256,4,9,0.777941,0.777239,0.773962,0.782814,0.765676,0.790286
NK3,256,8,9,0.709677,0.709954,0.705971,0.714079,0.697054,0.719668
NK3,64,1,9,0.789281,0.782463,0.770377,0.808657,0.765463,0.827397
NK3,64,2,9,0.821024,0.820875,0.812951,0.828501,0.804668,0.838741
NK3,64,4,9,0.807416,0.806234,0.801657,0.813680,0.788391,0.828296
NK3,64,8,9,0.761762,0.760881,0.754995,0.766318,0.743327,0.787555
NK3,128,1,10,0.797980,0.795714,0.790304,0.807704,0.780720,0.822217
NK3,128,2,10,0.813043,0.813918,0.807859,0.818460,0.792921,0.826948
NK3,128,4,10,0.798059,0.797228,0.791267,0.803876,0.783355,0.816280
NK3,128,8,10,0.733957,0.733540,0.728314,0.739115,0.722054,0.747498
NK3,256,1,10,0.789226,0.790412,0.782914,0.797823,0.767046,0.804938
NK3,256,2,10,0.802521,0.802527,0.796896,0.807136,0.789192,0.821021
NK3,256,4,10,0.775044,0.773802,0.770179,0.779243,0.764512,0.789990
NK3,256,8,10,0.691543,0.691266,0.687608,0.695396,0.680295,0.701707
NK3,64,1,10,0.789970,0.786841,0.770510,0.809015,0.765459,0.825945
NK3,64,2,10,0.821121,0.820773,0.814486,0.827002,0.802790,0.837548
NK3,64,4,10,0.809214,0.809882,0.800807,0.817239,0.786507,0.835951
NK3,64,8,10,0.757967,0.756868,0.751936,0.762738,0.742889,0.777064
NK3,128,1,11,0.797816,0.796690,0.789166,0.806293,0.779942,0.822673
NK3,128,2,11,0.812365,0.812836,0.807831,0.818444,0.793107,0.828019
NK3,128,4,11,0.798215,0.798496,0.791085,0.804094,0.784757,0.815131
NK3,128,8,11,0.722956,0.723437,0.718776,0.727067,0.709639,0.735187
NK3,256,1,11,0.788815,0.790362,0.784536,0.796589,0.766721,0.804603
NK3,256,2,11,0.800911,0.799905,0.794930,0.804478,0.786217,0.825082
NK3,256,4,11,0.768873,0.768056,0.764658,0.774171,0.752658,0.787243
NK3,256,8,11,0.672106,0.672121,0.667879,0.676663,0.659612,0.685057
NK3,64,1,11,0.789831,0.787946,0.771772,0.811583,0.765461,0.823843
NK3,64,2,11,0.820787,0.821714,0.812233,0.826724,0.801931,0.841137
NK3,64,4,11,0.810531,0.809083,0.802271,0.818683,0.791107,0.832241
NK3,64,8,11,0.755324,0.755038,0.747920,0.762316,0.738024,0.777019
NK3,128,1,12,0.797830,0.796325,0.789074,0.807040,0.780346,0.822409
NK3,128,2,12,0.812393,0.814110,0.807518,0.818943,0.789725,0.825199
NK3,128,4,12,0.795257,0.793648,0.788173,0.800904,0.778187,0.817981
NK3,128,8,12,0.710572,0.710344,0.705469,0.715548,0.695042,0.729257
NK3,256,1,12,0.788704,0.790391,0.783234,0.797645,0.764097,0.804464
NK3,256,2,12,0.800164,0.800239,0.793814,0.803961,0.783889,0.825818
NK3,256,4,12,0.760637,0.760691,0.754977,0.765804,0.746656,0.777266
NK3,256,8,12,0.650182,0.650341,0.645847,0.654180,0.638141,0.663292
NK3,64,1,12,0.789983,0.787272,0.772369,0.809540,0.765462,0.832930
NK3,64,2,12,0.820421,0.819386,0.813674,0.825933,0.801919,0.839492
NK3,64,4,12,0.808357,0.808993,0.800654,0.815578,0.789483,0.830783
NK3,64,8,12,0.750735,0.750448,0.745103,0.758135,0.731820,0.768090
NK3,128,1,13,0.797864,0.796242,0.790459,0.807691,0.781185,0.821573
NK3,128,2,13,0.811455,0.813123,0.806509,0.818254,0.789584,0.824835
NK3,128,4,13,0.795353,0.794410,0.788265,0.800892,0.777818,0.815442
NK3,128,8,13,0.694214,0.693415,0.688910,0.699802,0.679084,0.710085
NK3,256,1,13,0.787352,0.789521,0.782920,0.795445,0.765676,0.804664
NK3,256,2,13,0.797081,0.795807,0.790137,0.801743,0.779820,0.822303
NK3,256,4,13,0.751647,0.751077,0.745595,0.757562,0.737798,0.771121
NK3,256,8,13,0.631891,0.631542,0.628300,0.636044,0.620345,0.645357
NK3,64,1,13,0.790359,0.787116,0.772279,0.808260,0.765460,0.834955
NK3,64,2,13,0.821226,0.821253,0.813215,0.826322,0.802901,0.841137
NK3,64,4,13,0.808669,0.808778,0.801316,0.815929,0.789357,0.831790
NK3,64,8,13,0.742820,0.742446,0.737518,0.748331,0.723484,0.764741
NK3,128,1,14,0.798153,0.796410,0.790442,0.807335,0.780337,0.821827
NK3,128,2,14,0.811486,0.814124,0.805963,0.818156,0.786894,0.824551
NK3,128,4,14,0.790513,0.788356,0.781809,0.798167,0.771313,0.819573
NK3,128,8,14,0.673624,0.671598,0.666218,0.679749,0.658125,0.698880
NK3,256,1,14,0.786609,0.787474,0.781547,0.795720,0.760600,0.804451
NK3,256,2,14,0.794670,0.793593,0.788820,0.799752,0.775219,0.817828
NK3,256,4,14,0.739766,0.739693,0.734012,0.744980,0.726522,0.756987
NK3,256,8,14,0.616407,0.615363,0.611271,0.620039,0.607440,0.633613
NK3,64,1,14,0.790619,0.784508,0.772836,0.814329,0.765463,0.830064
NK3,64,2,14,0.820500,0.819242,0.812580,0.824841,0.804371,0.838504
NK3,64,4,14,0.808981,0.807734,0.801601,0.817620,0.790722,0.829609
NK3,64,8,14,0.734006,0.732731,0.726180,0.741042,0.717290,0.753069
NK3,128,1,15,0.797687,0.796026,0.789129,0.808388,0.779512,0.821828
NK3,128,2,15,0.810277,0.812355,0.803995,0.816643,0.787825,0.825622
NK3,128,4,15,0.785001,0.783747,0.776098,0.792689,0.766159,0.806907
NK3,128,8,15,0.656517,0.656047,0.652364,0.660599,0.641666,0.675561
NK3,256,1,15,0.785296,0.786974,0.780819,0.794504,0.761103,0.803336
NK3,256,2,15,0.790543,0.789563,0.781881,0.795999,0.772219,0.818711
NK3,256,4,15,0.727201,0.726499,0.721246,0.732234,0.712378,0.744171
NK3,256,8,15,0.604493,0.603440,0.599248,0.608227,0.593577,0.619498
NK3,64,1,15,0.790014,0.786980,0.772058,0.811470,0.765448,0.820713
NK3,64,2,15,0.820459,0.820903,0.811612,0.825961,0.803874,0.838504
NK3,64,4,15,0.807192,0.808146,0.798318,0.814688,0.786972,0.825580
NK3,64,8,15,0.719140,0.719557,0.711728,0.725959,0.703403,0.738854
NK3,128,1,16,0.797632,0.795695,0.789358,0.807111,0.779434,0.821769
NK3,128,2,16,0.810202,0.813373,0.803736,0.817067,0.789184,0.825198
NK3,128,4,16,0.778535,0.776381,0.768260,0.789551,0.758479,0.807009
NK3,128,8,16,0.640612,0.639634,0.634133,0.645718,0.624124,0.662867
NK3,256,1,16,0.783630,0.786310,0.777745,0.792598,0.757109,0.801814
NK3,256,2,16,0.784804,0.783545,0.777195,0.790151,0.767776,0.813743
NK3,256,4,16,0.714662,0.713595,0.708051,0.721477,0.699599,0.733033
NK3,256,8,16,0.593660,0.592746,0.588907,0.597406,0.585034,0.607378
NK3,64,1,16,0.789421,0.788983,0.770703,0.807623,0.765463,0.823017
NK3,64,2,16,0.819695,0.819331,0.810940,0.825269,0.802397,0.837545
NK3,64,4,16,0.808921,0.808365,0.802314,0.816502,0.788251,0.830719
NK3,64,8,16,0.709075,0.708585,0.700524,0.717099,0.687786,0.728253
