problem,n,type_instance,M,mean,median,q1,q3,p2,p98
QUBO,128,5,5,922.739990,918.000000,884.000000,971.000000,810.919983,1054.040039
QUBO,64,3,5,415.260010,412.000000,396.000000,434.000000,369.720001,473.040009
QUBO,256,1,5,1328.300049,1326.000000,1288.500000,1371.500000,1230.979980,1417.099976
QUBO,64,5,5,313.320007,316.000000,276.500000,344.500000,255.979996,396.000000
QUBO,64,4,5,331.660004,336.500000,323.000000,343.000000,283.920013,361.220001
QUBO,128,1,5,444.839996,448.000000,425.500000,464.250000,399.799988,492.119995
QUBO,128,3,5,1201.400024,1192.500000,1158.750000,1235.250000,1102.780029,1357.160034
QUBO,256,4,5,2675.040039,2669.000000,2597.250000,2753.250000,2499.919922,2881.320068
QUBO,256,2,5,1270.439941,1263.000000,1230.750000,1315.500000,1157.000000,1386.119995
QUBO,256,5,5,2639.139893,2623.000000,2555.750000,2726.750000,2435.840088,2878.100098
QUBO,256,3,5,3368.760010,3361.500000,3268.750000,3450.250000,3155.719971,3634.060059
QUBO,128,0,5,587.099976,586.000000,570.750000,598.000000,541.000000,635.080017
QUBO,128,4,5,943.460022,952.500000,895.750000,1003.250000,797.000000,1061.300049
QUBO,64,1,5,150.119995,148.500000,141.000000,158.000000,122.000000,179.000000
QUBO,128,2,5,433.260010,429.000000,414.750000,456.500000,374.000000,487.000000
QUBO,256,0,5,1656.719971,1653.500000,1627.750000,1688.500000,1562.959961,1750.319946
QUBO,64,0,5,203.899994,205.000000,195.750000,211.000000,180.979996,224.000000
QUBO,64,2,6,140.240005,140.500000,132.000000,146.250000,118.959999,159.020004
QUBO,128,5,6,929.460022,927.000000,886.750000,973.250000,826.599976,1050.040039
QUBO,64,3,6,422.059998,422.000000,404.000000,434.500000,377.959991,475.040009
QUBO,256,1,6,1336.900024,1338.500000,1298.750000,1379.250000,1220.859985,1451.060059
QUBO,64,5,6,313.660004,317.000000,275.750000,336.000000,251.839996,398.040009
QUBO,64,4,6,334.279999,338.000000,324.000000,346.000000,282.000000,372.000000
QUBO,128,1,6,445.500000,444.500000,426.750000,466.250000,393.799988,487.040009
QUBO,128,3,6,1216.459961,1217.000000,1183.750000,1253.250000,1114.859985,1345.359985
QUBO,256,4,6,2702.439941,2704.500000,2622.500000,2776.000000,2502.459961,2904.060059
QUBO,256,2,6,1271.959961,1268.500000,1225.000000,1318.000000,1175.000000,1382.040039
QUBO,256,5,6,2670.360107,2677.500000,2593.750000,2733.000000,2437.719971,2886.060059
QUBO,256,3,6,3389.399902,3382.500000,3318.750000,3450.500000,3176.739990,3599.540039
QUBO,128,0,6,592.080017,594.500000,572.750000,613.500000,538.820007,641.119995
QUBO,128,4,6,947.359985,945.500000,898.500000,994.500000,838.640015,1076.040039
QUBO,64,1,6,148.020004,145.500000,141.000000,155.000000,132.919998,179.000000
QUBO,128,2,6,438.299988,436.500000,421.000000,458.000000,390.980011,479.079987
QUBO,256,0,6,1665.900024,1667.000000,1631.750000,1701.750000,1560.520020,1764.420044
QUBO,64,0,6,204.039993,203.000000,197.000000,211.000000,179.979996,224.000000
QUBO,64,2,7,140.699997,143.000000,131.750000,148.000000,116.940002,160.000000
QUBO,128,5,7,935.000000,933.000000,897.500000,973.250000,815.000000,1060.160034
QUBO,64,3,7,421.059998,422.000000,403.500000,437.500000,369.920013,459.200012
QUBO,256,1,7,1340.359985,1341.000000,1297.750000,1385.750000,1246.920044,1442.079956
QUBO,64,5,7,316.160004,316.000000,280.000000,339.000000,264.820007,398.000000
QUBO,64,4,7,337.779999,341.500000,327.500000,350.000000,305.679993,372.000000
QUBO,128,1,7,449.399994,453.000000,434.500000,464.250000,396.899994,489.179993
QUBO,128,3,7,1219.520020,1215.500000,1170.750000,1259.000000,1123.880005,1361.000000
QUBO,256,4,7,2697.179932,2710.500000,2625.000000,2776.500000,2479.520020,2947.439941
QUBO,256,2,7,1276.420044,1267.000000,1233.000000,1311.000000,1186.959961,1412.040039
QUBO,256,5,7,2676.560059,2672.500000,2594.250000,2766.000000,2431.959961,2913.080078
QUBO,256,3,7,3392.159912,3396.500000,3310.000000,3468.000000,3221.399902,3576.219971
QUBO,128,0,7,595.840027,593.500000,579.000000,613.250000,534.919983,647.000000
QUBO,128,4,7,951.380005,950.500000,904.750000,991.250000,822.799988,1076.040039
QUBO,64,1,7,150.039993,149.000000,141.000000,157.250000,126.940002,179.000000
