Job démarré sur gnode5 à Tue Mar 10 09:33:12 CET 2026
Run main_expe
     avg_score=-942.440002 | runtime=9.22s
  -> run QUBO_dim128_t5
     avg_score=-926.719971 | runtime=9.26s
  -> run QUBO_dim256_t0
     avg_score=-1655.560059 | runtime=11.04s
     -> TOP 1
  -> run QUBO_dim256_t1
     avg_score=-1325.180054 | runtime=11.06s
     -> TOP 1
  -> run QUBO_dim256_t2
     avg_score=-1264.400024 | runtime=11.03s
     -> TOP 1
  -> run QUBO_dim256_t3
     avg_score=-3345.179932 | runtime=11.06s
     -> TOP 1
  -> run QUBO_dim256_t4
     avg_score=-2689.860107 | runtime=11.07s
     -> TOP 1
  -> run QUBO_dim256_t5
     avg_score=-2627.000000 | runtime=11.04s
     -> TOP 1
  -> run NK_dim128_t1
     avg_score=0.711096 | runtime=9.46s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.739261 | runtime=9.50s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.762669 | runtime=9.62s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.738001 | runtime=10.97s
  -> run NK_dim256_t1
     avg_score=0.708549 | runtime=11.06s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.737792 | runtime=11.13s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.753245 | runtime=11.49s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.727348 | runtime=14.44s
     -> TOP 1
  -> run NK_dim64_t1
     avg_score=0.711896 | runtime=8.87s
  -> run NK_dim64_t2
     avg_score=0.746057 | runtime=9.11s
     -> TOP 1
  -> run NK_dim64_t4
     avg_score=0.755507 | runtime=9.08s
  -> run NK_dim64_t8
     avg_score=0.748038 | runtime=9.44s

  *** SUMMARY FOR CONFIG: kfr__advglobalrankweighted__M6__L10__eps0p07__g0p005__ds0p01__dm0p01 ***
  NOMBRE DE TOP 1 : 0 (NK: 0, QUBO: 0)
  NOMBRE DE TOP 3 : 0
  NOMBRE DE TOP 5 : 0
  NOMBRE DE TOP 10 : 0
  Instances: 0/0

[CONFIG] kfr__advglobalrankweighted__M6__L10__eps0p07__g0p006__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-202.320007 | runtime=9.05s
  -> run QUBO_dim64_t1
     avg_score=-149.919998 | runtime=8.92s
  -> run QUBO_dim64_t2
     avg_score=-140.199997 | runtime=8.94s
  -> run QUBO_dim64_t3
     avg_score=-417.640015 | runtime=9.20s
  -> run QUBO_dim64_t4
     avg_score=-334.079987 | runtime=8.94s
  -> run QUBO_dim64_t5
     avg_score=-313.700012 | runtime=8.92s
  -> run QUBO_dim128_t0
     avg_score=-587.299988 | runtime=9.32s
  -> run QUBO_dim128_t1
     avg_score=-445.619995 | runtime=9.15s
  -> run QUBO_dim128_t2
     avg_score=-434.700012 | runtime=9.14s
  -> run QUBO_dim128_t3
     avg_score=-1211.859985 | runtime=9.32s
  -> run QUBO_dim128_t4
     avg_score=-951.859985 | runtime=9.16s
  -> run QUBO_dim128_t5
     avg_score=-927.979980 | runtime=9.22s
  -> run QUBO_dim256_t0
     avg_score=-1661.540039 | runtime=11.07s
     -> TOP 1
  -> run QUBO_dim256_t1
     avg_score=-1330.760010 | runtime=11.08s
     -> TOP 1
  -> run QUBO_dim256_t2
     avg_score=-1274.219971 | runtime=11.03s
     -> TOP 1
  -> run QUBO_dim256_t3
     avg_score=-3369.120117 | runtime=11.09s
     -> TOP 1
  -> run QUBO_dim256_t4
     avg_score=-2687.459961 | runtime=11.12s
     -> TOP 1
  -> run QUBO_dim256_t5
     avg_score=-2647.899902 | runtime=11.03s
     -> TOP 1
  -> run NK_dim128_t1
     avg_score=0.711347 | runtime=9.27s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.739604 | runtime=9.43s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.762125 | runtime=9.60s
     -> TOP 1
  -> run NK_dim128_t8
