Job démarré sur gnode5 à Mon Feb 16 13:40:47 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p006__ds0p01__dm0p01
  -> run QUBO_dim64_t3
     avg_score=-410.779999 | runtime=4.76s
  -> run QUBO_dim64_t4
     avg_score=-333.200012 | runtime=4.75s
  -> run QUBO_dim64_t5
     avg_score=-309.100006 | runtime=4.75s
  -> run QUBO_dim128_t0
     avg_score=-568.039978 | runtime=4.80s
  -> run QUBO_dim128_t1
     avg_score=-438.140015 | runtime=4.80s
  -> run QUBO_dim128_t2
     avg_score=-423.500000 | runtime=4.80s
  -> run QUBO_dim128_t3
     avg_score=-1162.140015 | runtime=4.81s
  -> run QUBO_dim128_t4
     avg_score=-927.200012 | runtime=4.80s
  -> run QUBO_dim128_t5
     avg_score=-890.080017 | runtime=4.80s
  -> run QUBO_dim256_t0
     avg_score=-1466.900024 | runtime=4.96s
  -> run QUBO_dim256_t1
     avg_score=-1234.800049 | runtime=4.96s
  -> run QUBO_dim256_t2
     avg_score=-1129.020020 | runtime=4.95s
  -> run QUBO_dim256_t3
     avg_score=-2982.320068 | runtime=4.96s
  -> run QUBO_dim256_t4
     avg_score=-2476.100098 | runtime=4.96s
  -> run QUBO_dim256_t5
     avg_score=-2312.179932 | runtime=4.96s
  -> run NK_dim128_t1
     avg_score=0.710500 | runtime=4.78s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.735827 | runtime=4.79s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.750525 | runtime=4.81s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.651324 | runtime=5.25s
  -> run NK_dim256_t1
     avg_score=0.705044 | runtime=4.87s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.727372 | runtime=4.91s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.718253 | runtime=5.02s
  -> run NK_dim256_t8
     avg_score=0.595676 | runtime=6.05s
  -> run NK_dim64_t1
     avg_score=0.711644 | runtime=4.75s
  -> run NK_dim64_t2
     avg_score=0.744914 | runtime=4.77s
  -> run NK_dim64_t4
     avg_score=0.750755 | runtime=4.78s
  -> run NK_dim64_t8
     avg_score=0.724389 | runtime=5.00s
[CONFIG] krbf__advnormalizedfitness__M2__L6__eps0p01__g0p015__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-200.440002 | runtime=4.76s
  -> run QUBO_dim64_t1
     avg_score=-148.000000 | runtime=4.75s
  -> run QUBO_dim64_t2
     avg_score=-138.419998 | runtime=4.76s
  -> run QUBO_dim64_t3
     avg_score=-417.519989 | runtime=4.76s
  -> run QUBO_dim64_t4
     avg_score=-330.459991 | runtime=4.76s
  -> run QUBO_dim64_t5
     avg_score=-309.160004 | runtime=4.76s
  -> run QUBO_dim128_t0
     avg_score=-578.700012 | runtime=4.80s
  -> run QUBO_dim128_t1
     avg_score=-437.040009 | runtime=4.79s
